timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601409880459,0,0.43139648,-0.88165283,-0.2341919,Chest,Left,s1711507,4,123
1601409880461,1,0.4182129,-0.8960571,-0.2144165,Chest,Left,s1711507,4,123
1601409880467,2,0.4230957,-0.8867798,-0.22174072,Chest,Left,s1711507,4,123
1601409880468,3,0.43432617,-0.8870239,-0.23345947,Chest,Left,s1711507,4,123
1601409880469,4,0.4321289,-0.88604736,-0.22906494,Chest,Left,s1711507,4,123
1601409880473,5,0.41210938,-0.8892212,-0.21954346,Chest,Left,s1711507,4,123
1601409880474,6,0.4255371,-0.88409424,-0.24761963,Chest,Left,s1711507,4,123
1601409880475,7,0.43676758,-0.87823486,-0.24786377,Chest,Left,s1711507,4,123
1601409880477,8,0.43188477,-0.8826294,-0.24053955,Chest,Left,s1711507,4,123
1601409880478,9,0.4248047,-0.88653564,-0.22393799,Chest,Left,s1711507,4,123
1601409880479,10,0.421875,-0.8892212,-0.21148682,Chest,Left,s1711507,4,123
1601409880480,11,0.42211914,-0.8862915,-0.22198486,Chest,Left,s1711507,4,123
1601409880481,12,0.4284668,-0.88287354,-0.24908447,Chest,Left,s1711507,4,123
1601409880483,13,0.42578125,-0.88165283,-0.2576294,Chest,Left,s1711507,4,123
1601409880484,14,0.42797852,-0.880188,-0.26202393,Chest,Left,s1711507,4,123
1601409880485,15,0.4309082,-0.8789673,-0.25738525,Chest,Left,s1711507,4,123
1601409880487,16,0.43310547,-0.8748169,-0.26397705,Chest,Left,s1711507,4,123
1601409880489,17,0.43115234,-0.8779907,-0.26885986,Chest,Left,s1711507,4,123
1601409880492,18,0.42529297,-0.8814087,-0.25860596,Chest,Left,s1711507,4,123
1601409880492,19,0.42504883,-0.88238525,-0.25421143,Chest,Left,s1711507,4,123
1601409880494,20,0.42993164,-0.878479,-0.25250244,Chest,Left,s1711507,4,123
1601409880495,21,0.4345703,-0.8796997,-0.25054932,Chest,Left,s1711507,4,123
1601409880496,22,0.42895508,-0.88287354,-0.24249268,Chest,Left,s1711507,4,123
1601409880496,23,0.42529297,-0.8867798,-0.23736572,Chest,Left,s1711507,4,123
1601409880497,24,0.4272461,-0.8855591,-0.2288208,Chest,Left,s1711507,4,123
1601409880498,25,0.42895508,-0.88726807,-0.22808838,Chest,Left,s1711507,4,123
1601409880499,26,0.42944336,-0.88946533,-0.21636963,Chest,Left,s1711507,4,123
1601409880499,27,0.4230957,-0.88897705,-0.21685791,Chest,Left,s1711507,4,123
1601409880500,28,0.42358398,-0.88848877,-0.21710205,Chest,Left,s1711507,4,123
1601409880501,29,0.4243164,-0.89141846,-0.21783447,Chest,Left,s1711507,4,123
1601409880501,30,0.4272461,-0.8862915,-0.2197876,Chest,Left,s1711507,4,123
1601409880502,31,0.42919922,-0.8845825,-0.23345947,Chest,Left,s1711507,4,123
1601409882606,32,0.4255371,-0.8862915,-0.22784424,Chest,Left,s1711507,4,123
1601409882609,33,0.42333984,-0.8850708,-0.237854,Chest,Left,s1711507,4,123
1601409882611,34,0.4267578,-0.88287354,-0.24298096,Chest,Left,s1711507,4,123
1601409882613,35,0.4309082,-0.87945557,-0.24639893,Chest,Left,s1711507,4,123
1601409882614,36,0.42504883,-0.88360596,-0.24639893,Chest,Left,s1711507,4,123
1601409882616,37,0.4272461,-0.88238525,-0.25152588,Chest,Left,s1711507,4,123
1601409882620,38,0.4321289,-0.8792114,-0.25128174,Chest,Left,s1711507,4,123
1601409882621,39,0.43164062,-0.878479,-0.2630005,Chest,Left,s1711507,4,123
1601409882624,40,0.42993164,-0.880188,-0.2571411,Chest,Left,s1711507,4,123
1601409882625,41,0.42919922,-0.87872314,-0.25128174,Chest,Left,s1711507,4,123
1601409882626,42,0.4267578,-0.8809204,-0.24957275,Chest,Left,s1711507,4,123
1601409882628,43,0.42822266,-0.88067627,-0.24810791,Chest,Left,s1711507,4,123
1601409882629,44,0.42578125,-0.8809204,-0.25054932,Chest,Left,s1711507,4,123
1601409882631,45,0.42871094,-0.878479,-0.25006104,Chest,Left,s1711507,4,123
1601409882632,46,0.4284668,-0.881897,-0.253479,Chest,Left,s1711507,4,123
1601409882635,47,0.4260254,-0.8814087,-0.24713135,Chest,Left,s1711507,4,123
1601409882637,48,0.42529297,-0.8814087,-0.24493408,Chest,Left,s1711507,4,123
1601409882637,49,0.4267578,-0.88287354,-0.24249268,Chest,Left,s1711507,4,123
1601409882638,50,0.4267578,-0.88287354,-0.24151611,Chest,Left,s1711507,4,123
1601409882640,51,0.4243164,-0.8833618,-0.24298096,Chest,Left,s1711507,4,123
1601409882641,52,0.42626953,-0.8850708,-0.23712158,Chest,Left,s1711507,4,123
1601409882642,53,0.42407227,-0.88775635,-0.23492432,Chest,Left,s1711507,4,123
1601409882644,54,0.4243164,-0.8833618,-0.24102783,Chest,Left,s1711507,4,123
1601409882645,55,0.42797852,-0.881897,-0.24053955,Chest,Left,s1711507,4,123
1601409882646,56,0.42504883,-0.8833618,-0.24053955,Chest,Left,s1711507,4,123
1601409882647,57,0.42651367,-0.87994385,-0.2546997,Chest,Left,s1711507,4,123
1601409882648,58,0.42797852,-0.8792114,-0.2571411,Chest,Left,s1711507,4,123
1601409882651,59,0.42700195,-0.87994385,-0.2612915,Chest,Left,s1711507,4,123
1601409882652,60,0.4267578,-0.87701416,-0.25811768,Chest,Left,s1711507,4,123
1601409882654,61,0.4267578,-0.8814087,-0.25738525,Chest,Left,s1711507,4,123
1601409882654,62,0.4260254,-0.8792114,-0.2630005,Chest,Left,s1711507,4,123
1601409882655,63,0.43115234,-0.87628174,-0.27105713,Chest,Left,s1711507,4,123
1601409885143,64,0.4272461,-0.87628174,-0.270813,Chest,Left,s1711507,4,123
1601409885144,65,0.43041992,-0.87750244,-0.26593018,Chest,Left,s1711507,4,123
1601409885149,66,0.4321289,-0.87750244,-0.26446533,Chest,Left,s1711507,4,123
1601409885151,67,0.4248047,-0.8804321,-0.26031494,Chest,Left,s1711507,4,123
1601409885152,68,0.42456055,-0.8809204,-0.25250244,Chest,Left,s1711507,4,123
1601409885154,69,0.42504883,-0.88409424,-0.24859619,Chest,Left,s1711507,4,123
1601409885155,70,0.42626953,-0.88116455,-0.24639893,Chest,Left,s1711507,4,123
1601409885156,71,0.4267578,-0.8845825,-0.24591064,Chest,Left,s1711507,4,123
1601409885158,72,0.4260254,-0.8826294,-0.2456665,Chest,Left,s1711507,4,123
1601409885159,73,0.4248047,-0.8850708,-0.23834229,Chest,Left,s1711507,4,123
1601409885161,74,0.42407227,-0.8862915,-0.23028564,Chest,Left,s1711507,4,123
1601409885162,75,0.42236328,-0.8887329,-0.23199463,Chest,Left,s1711507,4,123
1601409885165,76,0.42456055,-0.8843384,-0.24005127,Chest,Left,s1711507,4,123
1601409885165,77,0.42773438,-0.8826294,-0.25054932,Chest,Left,s1711507,4,123
1601409885167,78,0.42456055,-0.88238525,-0.24395752,Chest,Left,s1711507,4,123
1601409885168,79,0.4272461,-0.88165283,-0.24786377,Chest,Left,s1711507,4,123
1601409885169,80,0.42626953,-0.88165283,-0.2510376,Chest,Left,s1711507,4,123
1601409885170,81,0.4272461,-0.88067627,-0.25079346,Chest,Left,s1711507,4,123
1601409885171,82,0.42895508,-0.88067627,-0.25445557,Chest,Left,s1711507,4,123
1601409885172,83,0.4267578,-0.8826294,-0.25030518,Chest,Left,s1711507,4,123
1601409885173,84,0.42504883,-0.881897,-0.24591064,Chest,Left,s1711507,4,123
1601409885174,85,0.42578125,-0.8838501,-0.24151611,Chest,Left,s1711507,4,123
1601409885175,86,0.42358398,-0.8831177,-0.23272705,Chest,Left,s1711507,4,123
1601409885176,87,0.42285156,-0.89019775,-0.22589111,Chest,Left,s1711507,4,123
1601409885177,88,0.4255371,-0.88775635,-0.22589111,Chest,Left,s1711507,4,123
1601409885178,89,0.42407227,-0.8899536,-0.22589111,Chest,Left,s1711507,4,123
1601409885180,90,0.4267578,-0.89068604,-0.21636963,Chest,Left,s1711507,4,123
1601409885182,91,0.42700195,-0.89263916,-0.20513916,Chest,Left,s1711507,4,123
1601409885183,92,0.42504883,-0.8921509,-0.20123291,Chest,Left,s1711507,4,123
1601409885184,93,0.4243164,-0.89263916,-0.19683838,Chest,Left,s1711507,4,123
1601409885186,94,0.42114258,-0.89630127,-0.20025635,Chest,Left,s1711507,4,123
1601409885186,95,0.42236328,-0.8921509,-0.20269775,Chest,Left,s1711507,4,123
1601409888065,96,0.42163086,-0.8945923,-0.20611572,Chest,Left,s1711507,4,123
1601409888067,97,0.42114258,-0.8904419,-0.21392822,Chest,Left,s1711507,4,123
1601409888068,98,0.41992188,-0.89263916,-0.21881104,Chest,Left,s1711507,4,123
1601409888069,99,0.42138672,-0.88067627,-0.23272705,Chest,Left,s1711507,4,123
1601409888070,100,0.43310547,-0.8921509,-0.2498169,Chest,Left,s1711507,4,123
1601409888072,101,0.4165039,-0.8850708,-0.26226807,Chest,Left,s1711507,4,123
1601409888073,102,0.42138672,-0.8826294,-0.26641846,Chest,Left,s1711507,4,123
1601409888074,103,0.42114258,-0.8792114,-0.2805786,Chest,Left,s1711507,4,123
1601409888076,104,0.42236328,-0.8789673,-0.27252197,Chest,Left,s1711507,4,123
1601409888077,105,0.42700195,-0.8789673,-0.2727661,Chest,Left,s1711507,4,123
1601409888079,106,0.42333984,-0.87750244,-0.2744751,Chest,Left,s1711507,4,123
1601409888080,107,0.41870117,-0.88116455,-0.2774048,Chest,Left,s1711507,4,123
1601409888081,108,0.41967773,-0.8826294,-0.2798462,Chest,Left,s1711507,4,123
1601409888082,109,0.42089844,-0.878479,-0.27423096,Chest,Left,s1711507,4,123
1601409888084,110,0.42114258,-0.8796997,-0.27349854,Chest,Left,s1711507,4,123
1601409888085,111,0.41723633,-0.88482666,-0.26202393,Chest,Left,s1711507,4,123
1601409888087,112,0.41918945,-0.8838501,-0.26226807,Chest,Left,s1711507,4,123
1601409888088,113,0.4206543,-0.8845825,-0.26031494,Chest,Left,s1711507,4,123
1601409888089,114,0.4169922,-0.8862915,-0.25543213,Chest,Left,s1711507,4,123
1601409888090,115,0.41918945,-0.8858032,-0.25689697,Chest,Left,s1711507,4,123
1601409888091,116,0.4182129,-0.88604736,-0.2559204,Chest,Left,s1711507,4,123
1601409888094,117,0.42163086,-0.8862915,-0.25543213,Chest,Left,s1711507,4,123
1601409888094,118,0.4182129,-0.88604736,-0.2468872,Chest,Left,s1711507,4,123
1601409888096,119,0.41870117,-0.88897705,-0.253479,Chest,Left,s1711507,4,123
1601409888097,120,0.41577148,-0.8880005,-0.24591064,Chest,Left,s1711507,4,123
1601409888098,121,0.41918945,-0.88848877,-0.24908447,Chest,Left,s1711507,4,123
1601409888099,122,0.42089844,-0.88360596,-0.25860596,Chest,Left,s1711507,4,123
1601409888101,123,0.41918945,-0.88482666,-0.25909424,Chest,Left,s1711507,4,123
1601409888101,124,0.42016602,-0.88360596,-0.26690674,Chest,Left,s1711507,4,123
1601409888102,125,0.41918945,-0.8789673,-0.27423096,Chest,Left,s1711507,4,123
1601409888103,126,0.42211914,-0.8796997,-0.27252197,Chest,Left,s1711507,4,123
1601409888104,127,0.42358398,-0.87872314,-0.28033447,Chest,Left,s1711507,4,123
1601409890600,128,0.4230957,-0.87823486,-0.2793579,Chest,Left,s1711507,4,123
1601409890603,129,0.4230957,-0.87677,-0.28277588,Chest,Left,s1711507,4,123
1601409890605,130,0.42504883,-0.87384033,-0.28424072,Chest,Left,s1711507,4,123
1601409890608,131,0.42333984,-0.87823486,-0.2822876,Chest,Left,s1711507,4,123
1601409890610,132,0.42236328,-0.8792114,-0.27642822,Chest,Left,s1711507,4,123
1601409890611,133,0.4182129,-0.88067627,-0.26934814,Chest,Left,s1711507,4,123
1601409890613,134,0.41625977,-0.8838501,-0.2654419,Chest,Left,s1711507,4,123
1601409890614,135,0.41870117,-0.8831177,-0.2625122,Chest,Left,s1711507,4,123
1601409890616,136,0.41870117,-0.88287354,-0.26031494,Chest,Left,s1711507,4,123
1601409890617,137,0.4194336,-0.8838501,-0.26153564,Chest,Left,s1711507,4,123
1601409890618,138,0.421875,-0.88287354,-0.25982666,Chest,Left,s1711507,4,123
1601409890619,139,0.41748047,-0.8862915,-0.25689697,Chest,Left,s1711507,4,123
1601409890620,140,0.4152832,-0.88726807,-0.25054932,Chest,Left,s1711507,4,123
1601409890621,141,0.42041016,-0.8867798,-0.2576294,Chest,Left,s1711507,4,123
1601409890623,142,0.41577148,-0.8892212,-0.25177002,Chest,Left,s1711507,4,123
1601409890625,143,0.41796875,-0.88848877,-0.24835205,Chest,Left,s1711507,4,123
1601409890625,144,0.4128418,-0.88775635,-0.25665283,Chest,Left,s1711507,4,123
1601409890626,145,0.4189453,-0.8821411,-0.27105713,Chest,Left,s1711507,4,123
1601409890627,146,0.42016602,-0.8821411,-0.27178955,Chest,Left,s1711507,4,123
1601409890629,147,0.4189453,-0.8789673,-0.27886963,Chest,Left,s1711507,4,123
1601409890630,148,0.4189453,-0.8796997,-0.27764893,Chest,Left,s1711507,4,123
1601409890631,149,0.4248047,-0.8765259,-0.28326416,Chest,Left,s1711507,4,123
1601409890632,150,0.42285156,-0.8777466,-0.28668213,Chest,Left,s1711507,4,123
1601409890633,151,0.42456055,-0.8748169,-0.2852173,Chest,Left,s1711507,4,123
1601409890634,152,0.42089844,-0.8789673,-0.28302002,Chest,Left,s1711507,4,123
1601409890636,153,0.42382812,-0.8748169,-0.28546143,Chest,Left,s1711507,4,123
1601409890637,154,0.42382812,-0.87628174,-0.28204346,Chest,Left,s1711507,4,123
1601409890637,155,0.42285156,-0.8755493,-0.2888794,Chest,Left,s1711507,4,123
1601409890639,156,0.42236328,-0.87750244,-0.27960205,Chest,Left,s1711507,4,123
1601409890641,157,0.42114258,-0.8804321,-0.2798462,Chest,Left,s1711507,4,123
1601409890641,158,0.4206543,-0.8789673,-0.27471924,Chest,Left,s1711507,4,123
1601409890642,159,0.42236328,-0.8779907,-0.27227783,Chest,Left,s1711507,4,123
1601409892943,160,0.41796875,-0.8826294,-0.2703247,Chest,Left,s1711507,4,123
1601409892945,161,0.4230957,-0.881897,-0.26153564,Chest,Left,s1711507,4,123
1601409892947,162,0.42016602,-0.88067627,-0.26397705,Chest,Left,s1711507,4,123
1601409892949,163,0.4206543,-0.8826294,-0.2642212,Chest,Left,s1711507,4,123
1601409892952,164,0.41918945,-0.8850708,-0.25958252,Chest,Left,s1711507,4,123
1601409892958,165,0.41918945,-0.88482666,-0.25787354,Chest,Left,s1711507,4,123
1601409892964,166,0.41992188,-0.8870239,-0.25616455,Chest,Left,s1711507,4,123
1601409892964,167,0.41748047,-0.88946533,-0.25494385,Chest,Left,s1711507,4,123
1601409892964,168,0.4194336,-0.88726807,-0.25152588,Chest,Left,s1711507,4,123
1601409892965,169,0.4169922,-0.88653564,-0.25079346,Chest,Left,s1711507,4,123
1601409892965,170,0.41577148,-0.88604736,-0.25054932,Chest,Left,s1711507,4,123
1601409892965,171,0.42016602,-0.8882446,-0.24810791,Chest,Left,s1711507,4,123
1601409892966,172,0.41186523,-0.8887329,-0.24615479,Chest,Left,s1711507,4,123
1601409892967,173,0.42089844,-0.8850708,-0.26446533,Chest,Left,s1711507,4,123
1601409892968,174,0.41992188,-0.8796997,-0.2637329,Chest,Left,s1711507,4,123
1601409892973,175,0.4206543,-0.880188,-0.27423096,Chest,Left,s1711507,4,123
1601409892975,176,0.42260742,-0.8789673,-0.27667236,Chest,Left,s1711507,4,123
1601409892975,177,0.41845703,-0.88165283,-0.2810669,Chest,Left,s1711507,4,123
1601409892976,178,0.42358398,-0.8765259,-0.2835083,Chest,Left,s1711507,4,123
1601409892978,179,0.42236328,-0.8765259,-0.28497314,Chest,Left,s1711507,4,123
1601409892979,180,0.43017578,-0.8735962,-0.2913208,Chest,Left,s1711507,4,123
1601409892980,181,0.42260742,-0.87750244,-0.28326416,Chest,Left,s1711507,4,123
1601409892981,182,0.42114258,-0.8779907,-0.27642822,Chest,Left,s1711507,4,123
1601409892982,183,0.4230957,-0.87823486,-0.2642212,Chest,Left,s1711507,4,123
1601409892983,184,0.4206543,-0.88116455,-0.2666626,Chest,Left,s1711507,4,123
1601409892984,185,0.42382812,-0.880188,-0.27227783,Chest,Left,s1711507,4,123
1601409892984,186,0.41918945,-0.8850708,-0.26446533,Chest,Left,s1711507,4,123
1601409892985,187,0.42114258,-0.8833618,-0.25787354,Chest,Left,s1711507,4,123
1601409892986,188,0.42163086,-0.88409424,-0.25616455,Chest,Left,s1711507,4,123
1601409892987,189,0.4177246,-0.88287354,-0.25494385,Chest,Left,s1711507,4,123
1601409892988,190,0.41918945,-0.8838501,-0.25030518,Chest,Left,s1711507,4,123
1601409892988,191,0.41870117,-0.8843384,-0.25177002,Chest,Left,s1711507,4,123
1601409895486,192,0.41967773,-0.88653564,-0.24639893,Chest,Left,s1711507,4,123
1601409895489,193,0.4194336,-0.8899536,-0.24591064,Chest,Left,s1711507,4,123
1601409895491,194,0.4189453,-0.88775635,-0.2468872,Chest,Left,s1711507,4,123
1601409895493,195,0.41796875,-0.8882446,-0.23834229,Chest,Left,s1711507,4,123
1601409895494,196,0.4165039,-0.8867798,-0.2498169,Chest,Left,s1711507,4,123
1601409895496,197,0.42456055,-0.8831177,-0.25787354,Chest,Left,s1711507,4,123
1601409895499,198,0.42211914,-0.88409424,-0.26690674,Chest,Left,s1711507,4,123
1601409895501,199,0.41967773,-0.8831177,-0.26470947,Chest,Left,s1711507,4,123
1601409895503,200,0.4206543,-0.87945557,-0.27178955,Chest,Left,s1711507,4,123
1601409895505,201,0.42456055,-0.8772583,-0.27789307,Chest,Left,s1711507,4,123
1601409895507,202,0.42529297,-0.8789673,-0.27423096,Chest,Left,s1711507,4,123
1601409895507,203,0.42333984,-0.88067627,-0.28326416,Chest,Left,s1711507,4,123
1601409895509,204,0.42358398,-0.8777466,-0.26470947,Chest,Left,s1711507,4,123
1601409895511,205,0.42089844,-0.8814087,-0.2564087,Chest,Left,s1711507,4,123
1601409895511,206,0.41845703,-0.8845825,-0.25836182,Chest,Left,s1711507,4,123
